,class,difficulty
0,Kitchen,9.659574468085106
1,Bathroom,9.063829787234043
2,Oven,23.697674418604652
3,Countertop-wood,22.6
4,Toilet,28.444444444444443
5,Salt,47.74074074074074
6,Pepper,50.41379310344828
7,Bathroom-sink,45.483870967741936
8,Laundry-basket,51.8
9,Office,10.81132075471698
10,Bedroom,10.040816326530612
11,Computer,23.822222222222223
12,Shelf,19.591836734693878
13,Closet,19.886363636363637
14,Single-bed,19.77777777777778
15,Clothes-folded,30.682926829268293
16,Chair,20.108695652173914
