,class,difficulty
0,Bathroom,5.8
1,Toilet,18.783783783783782
2,Bathroom-sink,20.89189189189189
3,Laundry-basket,22.973684210526315
4,Kitchen,15.155555555555555
5,Oven,28.529411764705884
6,Countertop-wood,28.575757575757574
7,Salt,30.06451612903226
8,Pepper,36.90909090909091
9,Office,13.509803921568627
10,Bedroom,10.770833333333334
11,Computer,24.58974358974359
12,Closet,24.21951219512195
13,Shelf,22.58974358974359
14,Single-bed,24.210526315789473
15,Clothes-folded,27.56756756756757
16,Chair,25.41176470588235
