,c1,c2,score
0,Bedroom,Bedroom,-0.011430440940689714
1,Bedroom,Salt,-0.4525079196492121
2,Bedroom,Kitchen,-0.006970028875833899
3,Bedroom,Closet,0.19156151276782557
4,Bedroom,Chair,-0.12922152137114756
5,Bedroom,Bathroom,0.0
6,Bedroom,Single-bed,0.19283193379578917
7,Bedroom,Countertop-wood,-0.15836901324305488
8,Bedroom,Bathroom-sink,-0.4261032399392291
9,Bedroom,Clothes-folded,0.06524505601523206
10,Bedroom,Office,-0.02044510491678235
11,Bedroom,Shelf,-0.12317443157687255
12,Bedroom,Pepper,-0.4837818071945806
13,Bedroom,Oven,-0.17121146511859467
14,Bedroom,Laundry-basket,-0.5
15,Bedroom,Computer,-0.17266863597641258
16,Bedroom,Toilet,-0.2267472092225652
17,Salt,Bedroom,-0.011430440940689714
18,Salt,Salt,-0.4525079196492121
19,Salt,Kitchen,0.29822477631897126
20,Salt,Closet,-0.1266203054139926
21,Salt,Chair,-0.12922152137114756
22,Salt,Bathroom,0.0
23,Salt,Single-bed,-0.125349884386029
24,Salt,Countertop-wood,0.1468257919517503
25,Salt,Bathroom-sink,-0.4261032399392291
26,Salt,Clothes-folded,-0.2529367621665861
27,Salt,Office,-0.02044510491678235
28,Salt,Shelf,-0.12317443157687255
29,Salt,Pepper,-0.1785870019997754
30,Salt,Oven,0.13398334007621052
31,Salt,Laundry-basket,-0.5
32,Salt,Computer,-0.17266863597641258
33,Salt,Toilet,-0.2267472092225652
34,Kitchen,Bedroom,-0.011430440940689714
35,Kitchen,Salt,-0.14731311445440692
36,Kitchen,Kitchen,-0.006970028875833899
37,Kitchen,Closet,-0.1266203054139926
38,Kitchen,Chair,-0.12922152137114756
39,Kitchen,Bathroom,0.0
40,Kitchen,Single-bed,-0.125349884386029
41,Kitchen,Countertop-wood,0.1468257919517503
42,Kitchen,Bathroom-sink,-0.4261032399392291
43,Kitchen,Clothes-folded,-0.2529367621665861
44,Kitchen,Office,-0.02044510491678235
45,Kitchen,Shelf,-0.12317443157687255
