,c1,c2,score
0,Bathroom-sink,Bathroom-sink,-0.24256401345822737
1,Bathroom-sink,Computer,-0.30199763221388004
2,Bathroom-sink,Oven,-0.3653178395846943
3,Bathroom-sink,Salt,-0.3899907618634642
4,Bathroom-sink,Pepper,-0.5
5,Bathroom-sink,Closet,-0.29604709840201854
6,Bathroom-sink,Toilet,0.09651330077981154
7,Bathroom-sink,Clothes-folded,-0.34985862542846774
8,Bathroom-sink,Shelf,-0.26985268773696597
9,Bathroom-sink,Chair,-0.3152095437824458
10,Bathroom-sink,Countertop-wood,-0.3660627313461913
11,Bathroom-sink,Kitchen,-0.15036690694200922
12,Bathroom-sink,Single-bed,-0.2959026731059092
13,Bathroom-sink,Laundry-basket,0.029171242489092863
14,Bathroom-sink,Bathroom,0.3051948051948052
15,Bathroom-sink,Office,-0.12391560949335902
16,Bathroom-sink,Bedroom,-0.07989358075199693
17,Computer,Bathroom-sink,-0.24256401345822737
18,Computer,Computer,-0.30199763221388004
19,Computer,Oven,-0.3653178395846943
20,Computer,Salt,-0.3899907618634642
21,Computer,Pepper,-0.5
22,Computer,Closet,-0.29604709840201854
23,Computer,Toilet,-0.20868150441499364
24,Computer,Clothes-folded,-0.34985862542846774
25,Computer,Shelf,0.07430315641887819
26,Computer,Chair,0.028946300373398348
27,Computer,Countertop-wood,-0.3660627313461913
28,Computer,Kitchen,-0.15036690694200922
29,Computer,Single-bed,-0.2959026731059092
30,Computer,Laundry-basket,-0.2760235627057123
31,Computer,Bathroom,0.0
32,Computer,Office,0.22024023466248516
33,Computer,Bedroom,-0.07989358075199693
34,Oven,Bathroom-sink,-0.24256401345822737
35,Oven,Computer,-0.30199763221388004
36,Oven,Oven,-0.3653178395846943
37,Oven,Salt,-0.08479595666865902
38,Oven,Pepper,-0.19480519480519481
39,Oven,Closet,-0.29604709840201854
40,Oven,Toilet,-0.20868150441499364
41,Oven,Clothes-folded,-0.34985862542846774
42,Oven,Shelf,-0.26985268773696597
43,Oven,Chair,-0.3152095437824458
44,Oven,Countertop-wood,-0.06086792615138609
45,Oven,Kitchen,0.15482789825279597
46,Oven,Single-bed,-0.2959026731059092
47,Oven,Laundry-basket,-0.2760235627057123
48,Oven,Bathroom,0.0
49,Oven,Office,-0.12391560949335902
50,Oven,Bedroom,-0.07989358075199693
51,Salt,Bathroom-sink,-0.24256401345822737
52,Salt,Computer,-0.30199763221388004
53,Salt,Oven,-0.06012303438988914
54,Salt,Salt,-0.3899907618634642
55,Salt,Pepper,-0.19480519480519481
56,Salt,Closet,-0.29604709840201854
57,Salt,Toilet,-0.20868150441499364
58,Salt,Clothes-folded,-0.34985862542846774
59,Salt,Shelf,-0.26985268773696597
60,Salt,Chair,-0.3152095437824458
61,Salt,Countertop-wood,-0.06086792615138609
62,Salt,Kitchen,0.15482789825279597
63,Salt,Single-bed,-0.2959026731059092
64,Salt,Laundry-basket,-0.2760235627057123
65,Salt,Bathroom,0.0
66,Salt,Office,-0.12391560949335902
67,Salt,Bedroom,-0.07989358075199693
68,Pepper,Bathroom-sink,-0.24256401345822737
69,Pepper,Computer,-0.30199763221388004
70,Pepper,Oven,-0.06012303438988914
71,Pepper,Salt,-0.08479595666865902
72,Pepper,Pepper,-0.5
73,Pepper,Closet,-0.29604709840201854
74,Pepper,Toilet,-0.20868150441499364
75,Pepper,Clothes-folded,-0.34985862542846774
76,Pepper,Shelf,-0.26985268773696597
77,Pepper,Chair,-0.3152095437824458
78,Pepper,Countertop-wood,-0.06086792615138609
79,Pepper,Kitchen,0.15482789825279597
80,Pepper,Single-bed,-0.2959026731059092
81,Pepper,Laundry-basket,-0.2760235627057123
82,Pepper,Bathroom,0.0
83,Pepper,Office,-0.12391560949335902
84,Pepper,Bedroom,-0.07989358075199693
85,Closet,Bathroom-sink,-0.24256401345822737
86,Closet,Computer,-0.30199763221388004
87,Closet,Oven,-0.3653178395846943
88,Closet,Salt,-0.3899907618634642
