,c1,c2,score
0,Closet,Closet,-0.475710992698293
1,Closet,Shelf,-0.31561651575052424
2,Closet,Computer,-0.3724204359173461
3,Closet,Pepper,-0.5
4,Closet,Toilet,-0.45917793467510903
5,Closet,Oven,-0.48901309261895515
6,Closet,Laundry-basket,-0.4710610701292724
7,Closet,Office,-0.2065354504060252
8,Closet,Chair,-0.38096828464913557
9,Closet,Countertop-wood,-0.44452045086185105
10,Closet,Kitchen,-0.2812991937435611
11,Closet,Clothes-folded,0.009287079236606932
12,Closet,Bathroom-sink,-0.45541607350847674
13,Closet,Bedroom,0.0446169420059675
14,Closet,Single-bed,-0.054306057800298735
15,Closet,Bathroom,-0.1312140060825676
16,Closet,Salt,-0.40536430697554027
17,Shelf,Closet,-0.475710992698293
18,Shelf,Shelf,-0.31561651575052424
19,Shelf,Computer,0.09604803255112238
20,Shelf,Pepper,-0.5
21,Shelf,Toilet,-0.45917793467510903
22,Shelf,Oven,-0.48901309261895515
23,Shelf,Laundry-basket,-0.4710610701292724
24,Shelf,Office,0.14932040544983063
25,Shelf,Chair,0.08299567931482837
26,Shelf,Countertop-wood,-0.44452045086185105
27,Shelf,Kitchen,-0.2812991937435611
28,Shelf,Clothes-folded,-0.391613821664294
29,Shelf,Bathroom-sink,-0.45541607350847674
30,Shelf,Bedroom,-0.2616893643003388
31,Shelf,Single-bed,-0.45971146320570416
32,Shelf,Bathroom,-0.1312140060825676
33,Shelf,Salt,-0.40536430697554027
34,Computer,Closet,-0.475710992698293
35,Computer,Shelf,0.15285195271794422
36,Computer,Computer,-0.3724204359173461
37,Computer,Pepper,-0.5
38,Computer,Toilet,-0.45917793467510903
39,Computer,Oven,-0.48901309261895515
40,Computer,Laundry-basket,-0.4710610701292724
41,Computer,Office,0.14932040544983063
42,Computer,Chair,0.10551820183735094
43,Computer,Countertop-wood,-0.44452045086185105
44,Computer,Kitchen,-0.2812991937435611
45,Computer,Clothes-folded,-0.391613821664294
46,Computer,Bathroom-sink,-0.45541607350847674
47,Computer,Bedroom,-0.2616893643003388
48,Computer,Single-bed,-0.45971146320570416
49,Computer,Bathroom,-0.1312140060825676
50,Computer,Salt,-0.40536430697554027
51,Pepper,Closet,-0.475710992698293
52,Pepper,Shelf,-0.31561651575052424
53,Pepper,Computer,-0.3724204359173461
54,Pepper,Pepper,-0.5
55,Pepper,Toilet,-0.45917793467510903
56,Pepper,Oven,-0.05207615568201823
57,Pepper,Laundry-basket,-0.4710610701292724
58,Pepper,Office,-0.2065354504060252
59,Pepper,Chair,-0.38096828464913557
60,Pepper,Countertop-wood,0.010434504093103925
61,Pepper,Kitchen,0.05203413958977221
62,Pepper,Clothes-folded,-0.391613821664294
63,Pepper,Bathroom-sink,-0.45541607350847674
64,Pepper,Bedroom,-0.2616893643003388
65,Pepper,Single-bed,-0.45971146320570416
66,Pepper,Bathroom,-0.1312140060825676
67,Pepper,Salt,0.06310416149292819
68,Toilet,Closet,-0.475710992698293
69,Toilet,Shelf,-0.31561651575052424
70,Toilet,Computer,-0.3724204359173461
71,Toilet,Pepper,-0.5
72,Toilet,Toilet,-0.45917793467510903
73,Toilet,Oven,-0.48901309261895515
74,Toilet,Laundry-basket,0.006416407348205089
75,Toilet,Office,-0.2065354504060252
76,Toilet,Chair,-0.38096828464913557
77,Toilet,Countertop-wood,-0.44452045086185105
78,Toilet,Kitchen,-0.2812991937435611
79,Toilet,Clothes-folded,-0.391613821664294
80,Toilet,Bathroom-sink,0.031070412978009776
81,Toilet,Bedroom,-0.2616893643003388
82,Toilet,Single-bed,-0.45971146320570416
83,Toilet,Bathroom,0.22013734526878376
84,Toilet,Salt,-0.40536430697554027
85,Oven,Closet,-0.475710992698293
86,Oven,Shelf,-0.31561651575052424
87,Oven,Computer,-0.3724204359173461
88,Oven,Pepper,-0.06306306306306309
89,Oven,Toilet,-0.45917793467510903
90,Oven,Oven,-0.48901309261895515
91,Oven,Laundry-basket,-0.4710610701292724
92,Oven,Office,-0.2065354504060252
93,Oven,Chair,-0.38096828464913557
94,Oven,Countertop-wood,-0.016592522933923104
95,Oven,Kitchen,0.05203413958977221
96,Oven,Clothes-folded,-0.391613821664294
97,Oven,Bathroom-sink,-0.45541607350847674
98,Oven,Bedroom,-0.2616893643003388
99,Oven,Single-bed,-0.45971146320570416
100,Oven,Bathroom,-0.1312140060825676
101,Oven,Salt,0.03607713446590116
102,Laundry-basket,Closet,-0.475710992698293
103,Laundry-basket,Shelf,-0.31561651575052424
104,Laundry-basket,Computer,-0.3724204359173461
105,Laundry-basket,Pepper,-0.5
106,Laundry-basket,Toilet,0.01829954280236845
107,Laundry-basket,Oven,-0.48901309261895515
108,Laundry-basket,Laundry-basket,-0.4710610701292724
109,Laundry-basket,Office,-0.2065354504060252
110,Laundry-basket,Chair,-0.38096828464913557
111,Laundry-basket,Countertop-wood,-0.44452045086185105
112,Laundry-basket,Kitchen,-0.2812991937435611
113,Laundry-basket,Clothes-folded,-0.391613821664294
114,Laundry-basket,Bathroom-sink,0.04458392649152326
115,Laundry-basket,Bedroom,-0.2616893643003388
116,Laundry-basket,Single-bed,-0.45971146320570416
117,Laundry-basket,Bathroom,0.22013734526878376
118,Laundry-basket,Salt,-0.40536430697554027
119,Office,Closet,-0.475710992698293
120,Office,Shelf,0.04023934010533159
121,Office,Computer,-0.016564580061490253
122,Office,Pepper,-0.5
123,Office,Toilet,-0.45917793467510903
124,Office,Oven,-0.48901309261895515
125,Office,Laundry-basket,-0.4710610701292724
126,Office,Office,-9.16442345023942
127,Office,Chair,-0.02511242879327974
128,Office,Countertop-wood,-0.44452045086185105
129,Office,Kitchen,-9.16442345023942
130,Office,Clothes-folded,-0.391613821664294
131,Office,Bathroom-sink,-0.45541607350847674
132,Office,Bedroom,-9.16442345023942
133,Office,Single-bed,-0.45971146320570416
134,Office,Bathroom,-9.16442345023942
135,Office,Salt,-0.40536430697554027
136,Chair,Closet,-0.475710992698293
137,Chair,Shelf,0.1483474482134397
138,Chair,Computer,0.11406605056914043
139,Chair,Pepper,-0.5
140,Chair,Toilet,-0.45917793467510903
141,Chair,Oven,-0.48901309261895515
142,Chair,Laundry-basket,-0.4710610701292724
143,Chair,Office,0.14932040544983063
144,Chair,Chair,-0.38096828464913557
145,Chair,Countertop-wood,-0.44452045086185105
146,Chair,Kitchen,-0.2812991937435611
147,Chair,Clothes-folded,-0.391613821664294
148,Chair,Bathroom-sink,-0.45541607350847674
149,Chair,Bedroom,-0.2616893643003388
150,Chair,Single-bed,-0.45971146320570416
151,Chair,Bathroom,-0.1312140060825676
152,Chair,Salt,-0.40536430697554027
153,Countertop-wood,Closet,-0.475710992698293
154,Countertop-wood,Shelf,-0.31561651575052424
155,Countertop-wood,Computer,-0.3724204359173461
156,Countertop-wood,Pepper,-0.04504504504504503
157,Countertop-wood,Toilet,-0.45917793467510903
158,Countertop-wood,Oven,-0.061085164691027205
159,Countertop-wood,Laundry-basket,-0.4710610701292724
160,Countertop-wood,Office,-0.2065354504060252
161,Countertop-wood,Chair,-0.38096828464913557
162,Countertop-wood,Countertop-wood,-0.44452045086185105
163,Countertop-wood,Kitchen,0.05203413958977221
164,Countertop-wood,Clothes-folded,-0.391613821664294
165,Countertop-wood,Bathroom-sink,-0.45541607350847674
166,Countertop-wood,Bedroom,-0.2616893643003388
167,Countertop-wood,Single-bed,-0.45971146320570416
168,Countertop-wood,Bathroom,-0.1312140060825676
169,Countertop-wood,Salt,0.058599656988423676
170,Kitchen,Closet,-0.475710992698293
171,Kitchen,Shelf,-0.31561651575052424
172,Kitchen,Computer,-0.3724204359173461
173,Kitchen,Pepper,-0.16666666666666669
174,Kitchen,Toilet,-0.45917793467510903
175,Kitchen,Oven,-0.15567975928562183
176,Kitchen,Laundry-basket,-0.4710610701292724
177,Kitchen,Office,-9.16442345023942
178,Kitchen,Chair,-0.38096828464913557
179,Kitchen,Countertop-wood,-0.11118711752851773
180,Kitchen,Kitchen,-9.16442345023942
181,Kitchen,Clothes-folded,-0.391613821664294
182,Kitchen,Bathroom-sink,-0.45541607350847674
183,Kitchen,Bedroom,-9.16442345023942
