,class1,class2,corr_score
0,Oven,Oven,0
1,Oven,Bathroom-sink,0
2,Oven,Corridor,86
3,Oven,Laundry-basket,0
4,Oven,Chair,0
5,Oven,Countertop-wood,95
6,Oven,Robot,4
7,Oven,Pepper,97
8,Oven,Toilet,0
9,Oven,Salt,98
10,Oven,Kitchen,300
11,Oven,Clothes-folded,0
12,Oven,Office,241
13,Oven,Closet,0
14,Oven,Computer,0
15,Oven,Single-bed,0
16,Oven,Shelf,0
17,Oven,Bedroom,205
18,Oven,Bathroom,239
19,Bathroom-sink,Oven,0
20,Bathroom-sink,Bathroom-sink,0
21,Bathroom-sink,Corridor,86
22,Bathroom-sink,Laundry-basket,111
23,Bathroom-sink,Chair,0
24,Bathroom-sink,Countertop-wood,0
25,Bathroom-sink,Robot,8
26,Bathroom-sink,Pepper,0
27,Bathroom-sink,Toilet,108
28,Bathroom-sink,Salt,0
29,Bathroom-sink,Kitchen,300
30,Bathroom-sink,Clothes-folded,0
31,Bathroom-sink,Office,241
32,Bathroom-sink,Closet,0
33,Bathroom-sink,Computer,0
34,Bathroom-sink,Single-bed,0
35,Bathroom-sink,Shelf,0
36,Bathroom-sink,Bedroom,205
37,Bathroom-sink,Bathroom,239
38,Corridor,Oven,86
39,Corridor,Bathroom-sink,86
40,Corridor,Laundry-basket,86
41,Corridor,Chair,86
42,Corridor,Countertop-wood,86
43,Corridor,Robot,86
44,Corridor,Pepper,86
45,Corridor,Toilet,86
46,Corridor,Salt,86
47,Corridor,Clothes-folded,86
48,Corridor,Closet,86
49,Corridor,Computer,86
50,Corridor,Single-bed,86
51,Corridor,Shelf,86
52,Laundry-basket,Oven,0
53,Laundry-basket,Bathroom-sink,111
54,Laundry-basket,Corridor,86
55,Laundry-basket,Laundry-basket,0
56,Laundry-basket,Chair,0
57,Laundry-basket,Countertop-wood,0
58,Laundry-basket,Robot,7
59,Laundry-basket,Pepper,0
60,Laundry-basket,Toilet,106
61,Laundry-basket,Salt,0
62,Laundry-basket,Kitchen,300
63,Laundry-basket,Clothes-folded,0
64,Laundry-basket,Office,241
65,Laundry-basket,Closet,0
66,Laundry-basket,Computer,0
67,Laundry-basket,Single-bed,0
68,Laundry-basket,Shelf,0
69,Laundry-basket,Bedroom,205
70,Laundry-basket,Bathroom,239
71,Chair,Oven,0
72,Chair,Bathroom-sink,0
73,Chair,Corridor,86
74,Chair,Laundry-basket,0
75,Chair,Chair,0
76,Chair,Countertop-wood,0
77,Chair,Robot,5
78,Chair,Pepper,0
79,Chair,Toilet,0
80,Chair,Salt,0
81,Chair,Kitchen,300
82,Chair,Clothes-folded,0
83,Chair,Office,241
84,Chair,Closet,0
85,Chair,Computer,108
86,Chair,Single-bed,0
87,Chair,Shelf,103
88,Chair,Bedroom,205
89,Chair,Bathroom,239
90,Countertop-wood,Oven,95
91,Countertop-wood,Bathroom-sink,0
92,Countertop-wood,Corridor,86
93,Countertop-wood,Laundry-basket,0
94,Countertop-wood,Chair,0
95,Countertop-wood,Countertop-wood,0
96,Countertop-wood,Robot,7
97,Countertop-wood,Pepper,101
98,Countertop-wood,Toilet,0
99,Countertop-wood,Salt,103
100,Countertop-wood,Kitchen,300
101,Countertop-wood,Clothes-folded,0
102,Countertop-wood,Office,241
103,Countertop-wood,Closet,0
104,Countertop-wood,Computer,0
105,Countertop-wood,Single-bed,0
106,Countertop-wood,Shelf,0
107,Countertop-wood,Bedroom,205
108,Countertop-wood,Bathroom,239
109,Robot,Oven,4
110,Robot,Bathroom-sink,8
111,Robot,Corridor,86
112,Robot,Laundry-basket,7
113,Robot,Chair,5
114,Robot,Countertop-wood,7
115,Robot,Robot,0
116,Robot,Pepper,5
117,Robot,Toilet,7
118,Robot,Salt,6
119,Robot,Kitchen,300
120,Robot,Clothes-folded,1
121,Robot,Office,241
122,Robot,Closet,1
123,Robot,Computer,5
124,Robot,Single-bed,2
125,Robot,Shelf,4
126,Robot,Bedroom,205
127,Robot,Bathroom,239
128,Pepper,Oven,97
129,Pepper,Bathroom-sink,0
130,Pepper,Corridor,86
131,Pepper,Laundry-basket,0
132,Pepper,Chair,0
133,Pepper,Countertop-wood,101
134,Pepper,Robot,5
135,Pepper,Pepper,0
136,Pepper,Toilet,0
137,Pepper,Salt,104
138,Pepper,Kitchen,300
139,Pepper,Clothes-folded,0
140,Pepper,Office,241
141,Pepper,Closet,0
142,Pepper,Computer,0
143,Pepper,Single-bed,0
144,Pepper,Shelf,0
