,class,difficulty
0,Office,79.97971830985915
1,Kitchen,78.0368519675203
2,Bedroom,82.40407725321889
3,Single-bed,71.66197183098592
4,Closet,76.93506493506493
5,Clothes-folded,84.28571428571429
6,Salt,91.48717948717949
7,Pepper,96.67857142857143
8,Countertop-wood,74.41025641025641
9,Oven,91.97222222222223
10,Bathroom,68.85438196215273
11,Bathroom-sink,73.9622641509434
12,Laundry-basket,84.74626865671642
13,Toilet,67.52
14,Chair,81.56179775280899
15,Computer,81.30851063829788
16,Shelf,86.95652173913044
